Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Cash Purchasing Power
"Individual Brokerage -7964",13610.37,5701.30,72.71,6.95,.05,67.83,67.83


View Summary - All Positions
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Total Gain $,Asc,

Symbol,Last Price $,Change $,Change %,Quantity,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
ALFIQ,0.00,0.00,0.00,3.0000,13.79,.0000,-41.3700,-100.0000,.0000
ACN,224.19,2.14,0.96,1.0140,244.5365,2.1700,-20.6313,-8.3204,227.3287
MMATQ,0.00,0.00,0.00,1.0000,15.87,.0000,-15.8700,-100.0000,.0000
BA,242.935,3.58,1.50,1.0000,246.48,3.5850,-3.5450,-1.4383,242.9350
629999590,0.00,0.00,0.00,2.0000,0.00,.0000,.0000,.0000,.0000
MRVL,78.61,0.38,0.49,1.0070,69.9503,.3827,8.7203,12.3797,79.1603
LUV,51.09,0.26,0.51,2.1560,44.5779,.5606,14.0400,14.6083,110.1500
QBTS,19.68,0.86,4.57,2.0000,6.765,1.7200,25.8300,190.9091,39.3600
SPY,681.74,0.47,0.07,.1250,461.04,.0587,27.5875,47.8700,85.2175
HOOD,75.97,4.85,6.82,1.0000,45.27,4.8500,30.7000,67.8153,75.9700
ANET,141.60,6.48,4.80,1.0000,102.18,6.4800,39.4200,38.5790,141.6000
NVS,163.10,1.92,1.19,1.0240,107.1582,1.9661,57.2844,52.2049,167.0144
SCHD,31.595,0.26,0.81,17.6640,27.83,4.5043,66.5041,13.5284,558.0941
SOXL,64.61,1.51,2.39,3.0320,35.8773,4.5783,87.1175,80.0860,195.8975
ONON,45.28,1.01,2.28,7.0000,32.2771,7.0700,91.0200,40.2850,316.9600
AAPL,255.78,-5.95,-2.27,1.0340,134.6132,-6.1523,125.2865,90.0112,264.4765
TSM,366.22,-1.88,-0.51,1.0230,102.3949,-1.9232,269.8931,257.6545,374.6431
TSLA,417.44,0.37,0.09,3.0000,220.9467,1.1100,589.4800,88.9325,1252.3200
NVDA,182.78,-4.16,-2.23,10.0080,76.5078,-41.6333,1063.5722,138.9038,1829.2622
TQQQ,48.47,0.21,0.44,73.1830,26.7812,15.3684,1587.2501,80.9850,3547.1800
VOO,626.84,0.35,0.06,6.4370,362.8958,2.2529,1699.0091,72.7328,4034.9691
CASH,,,,,,,,,67.83,
TOTAL,,,,,7841.24,6.95,5701.30,72.71,13610.37,



Generated at Feb 15 2026 09:24 PM ET
